Nom Prenom/types de distinctions/description 
Jean_Durosier_Desrivieres/distinctions, invitations et interventions publiques/Invité à l’Ecole Normale Supérieure de Lyon : « Conversation avec un artiste au pieds poudrés », janvier 2012.
Jean_Durosier_Desrivieres/distinctions, invitations et interventions publiques/Auteur invité au Salon du Livre de Paris, mars 2012.
Jean_Durosier_Desrivieres/distinctions, invitations et interventions publiques/Prix Spécial du jury d’Etc_Caraïbe / Beaumarchais 2013, pour La jupe de la rue Gît-le-Cœur.
Jean_Euphele_Milce/prix et distinctions littéraires/2004     Prix Georges-Nicole, pourL’Alphabet des nuits.
Jean_Euphele_Milce/prix et distinctions littéraires/2013     Bourse Barbancourt.
Jean_Marc_Pasquet/prix et distinctions littéraires/2001      Prix de la Société Littéraire de Genève, pour Le Don de Qâ.
Jean_Marie_Bourjolly/distinctions/2001     Co-récipiendaire du premier prix de la Société canadienne de recherche opérationnelle, pour ses travaux en télécommunications.
Jean_Max_Calvin/prix et distinctions littéraires/2002     Prix du Livre insulaire, catégorie poésie, Ouessant (France), pour La Pluie et ses tambours.
Jean_Metellus/prix et distinctions littéraires/1982     Prix André Barré de l’Académie française.
Jean_Metellus/prix et distinctions littéraires/1984     Prix de la Fondation Roland de Jouvenel de l’Académie française.
Jean_Metellus/prix et distinctions littéraires/1986     Chevalier de l’Ordre du mérite des Arts et des Lettres.
Jean_Metellus/prix et distinctions littéraires/1991     Prix littéraire de l’APLER (Association du Prix Littéraire Émile Roux).
Jean_Metellus/prix et distinctions littéraires/2006     Grand Prix international de Poésie de langue française Léopold Sédar Senghor, pour l’ensemble de son œuvre.
Jean_Metellus/prix et distinctions littéraires/2007     Grand Prix de Poésie de la Société des Gens de Lettres, pour l’ensemble de son œuvre.
Jean_Metellus/prix et distinctions littéraires/2010     Prix international de littérature francophone Benjamin Fondane (Institut Culturel Roumain).
Jean_Metellus/prix et distinctions littéraires/2010     Grand Prix de la Francophonie de l’Académie française.
Jean_Price_Mars/prix et distinctions/1956     Président, 1er Congrès International des Écrivains et Artistes Noirs (Paris)
Jean_Price_Mars/prix et distinctions/1956     Premier président de la Société Africaine de Culture (Paris) affilié avec l’UNESCO
Jean_Price_Mars/prix et distinctions/1956     Commandeur de la Légion d’Honneur (Paris)
Jean_Price_Mars/prix et distinctions/1957     Docteur Honoris Causa, Université de Paris
Jean_Price_Mars/prix et distinctions/1958     Membre de l’Académie des Sciences d’Outre-Mer (Paris)
Jean_Price_Mars/prix et distinctions/1959     Membre du Comité d’Honneur de l’ADELF (Association des Écrivains de langue française), appelée alors l’AEFMOM (Paris)
Jean_Price_Mars/prix et distinctions/1959     Candidat au Prix Nobel de littérature
Jean_Price_Mars/prix et distinctions/1959     Médaille d’Argent du Prix de la Langue Française de l’Académie Française
Jean_Price_Mars/prix et distinctions/1959     « Pension présidentielle » à vie, en raison des services éminents rendus à Haïti
Jean_Price_Mars/prix et distinctions/1965     Premier lauréat du Prix littéraire des Caraïbes de l’ADELF (Paris), pour l’ensemble de son oeuvre
Jean_Price_Mars/prix et distinctions/1966     Docteur Honoris Causa, Université de Dakar
Jean_Price_Mars/prix et distinctions/Grand-Croix de l’Ordre de Malte
Jean_Price_Mars/prix et distinctions/Commandeur de « El Sol » du Pérou
Jean_Price_Mars/prix et distinctions/Grand Cordon du Chêne du Liban
Joel_Des_Rosiers/distinctions littéraires/1990     Finaliste du prix du Gouverneur général, pour Tribu
Joel_Des_Rosiers/distinctions littéraires/1993     Prix de l’excellence artistique de la Ville de Laval, pour Savanes.
Joel_Des_Rosiers/distinctions littéraires/1996     Prix de la Société des écrivains canadiens, pour Théories caraïbes.
Joel_Des_Rosiers/distinctions littéraires/1999     Grand Prix du livre de Montréal, pour Vétiver.
