;wikipage_en;wikipage_fr;wikipage_ht;len_wiki_en;len_wiki_fr;len_wiki_ht;;;;;;wiki_url;len
Q3048185;https://en.wikipedia.org/wiki/Edner_Brutus;https://fr.wikipedia.org/wiki/Edner_Brutus;https://ht.wikipedia.org/wiki/Edner_Brutus;1124;2663;992;;;;;;https://fr.wikipedia.org/wiki/Christophe_Philippe_Charles;4837
Q55217158;;;;#N/A;#N/A;#N/A;;;;;;https://ht.wikipedia.org/wiki/Christophe_Charles;3550
Q16259761;;https://fr.wikipedia.org/wiki/%C3%89douard_Antonin_Tardieu;;#N/A;3809;#N/A;;;;;;https://ht.wikipedia.org/wiki/Jean-Claude_Charles;812
Q3488805;;https://fr.wikipedia.org/wiki/Soeuf_Elbadawi;https://ht.wikipedia.org/wiki/Soeuf_Elbadawi;#N/A;12493;1029;;;;;;https://en.wikipedia.org/wiki/Raymond_Chassagne;1628
Q289255;https://en.wikipedia.org/wiki/%C3%89tienne_Maurice_G%C3%A9rard;https://fr.wikipedia.org/wiki/%C3%89tienne_Maurice_G%C3%A9rard;;11562;36997;#N/A;;;;;;https://fr.wikipedia.org/wiki/Raymond_Chassagne;4348
Q16946145;;https://fr.wikipedia.org/wiki/Emmanuel_Eug%C3%A8ne;https://ht.wikipedia.org/wiki/Emmanuel_Eug%C3%A8ne;#N/A;2914;1111;;;;;;https://ht.wikipedia.org/wiki/Raymond_Chassagne;1170
Q18341492;;;https://ht.wikipedia.org/wiki/Marc_Exavier;#N/A;#N/A;804;;;;;;https://ht.wikipedia.org/wiki/Romel_Chery;718
Q16946185;;;https://ht.wikipedia.org/wiki/Farah-Martine_Lh%C3%A9risson;#N/A;#N/A;1897;;;;;;https://ht.wikipedia.org/wiki/Pierre_Clitandre;2228
Q12891979;https://en.wikipedia.org/wiki/Jessica_Fi%C3%A8vre;;https://ht.wikipedia.org/wiki/Jessica_Fi%C3%A8vre;3194;#N/A;1071;;;;;;https://fr.wikipedia.org/wiki/Georges_Cocks;6154
Q3164963;https://en.wikipedia.org/wiki/Jean-Claude_Fignol%C3%A9;https://fr.wikipedia.org/wiki/Jean-Claude_Fignol%C3%A9;https://ht.wikipedia.org/wiki/Jean-Claude_Fignol%C3%A9;1208;4301;2785;;;;;;https://ht.wikipedia.org/wiki/Georges_Cocks;1798
