etat_civil;wikipage_en;wikipage_fr;wikipage_ht
Célestin-Mégie Emile;#N/A;https://fr.wikipedia.org/wiki/%C3%89mile_C%C3%A9lestin-M%C3%A9gie;https://ht.wikipedia.org/wiki/%C3%89mile_C%C3%A9lestin-M%C3%A9gie
Chalmers Mehdi;#N/A;#N/A;#N/A
Chancy Myriam J.A.;https://en.wikipedia.org/wiki/Myriam_J._A._Chancy;#N/A;#N/A
Charles Jean-Claude;#N/A;#N/A;https://ht.wikipedia.org/wiki/Jean-Claude_Charles
Charles Christophe Philippe;https://en.wikipedia.org/wiki/Christophe_Charles;https://fr.wikipedia.org/wiki/Christophe_Philippe_Charles;https://ht.wikipedia.org/wiki/Christophe_Charles
Charles Wébert;#N/A;#N/A;#N/A
Charles Fabian;#N/A;#N/A;#N/A
Chassagne Raymond;https://en.wikipedia.org/wiki/Raymond_Chassagne;https://fr.wikipedia.org/wiki/Raymond_Chassagne;https://ht.wikipedia.org/wiki/Raymond_Chassagne
Chavenet Anaïse;#N/A;#N/A;#N/A
Chenet Gérard;#N/A;#N/A;#N/A
Chery Romel;#N/A;#N/A;https://ht.wikipedia.org/wiki/Romel_Chery
Clitandre Pierre;#N/A;#N/A;https://ht.wikipedia.org/wiki/Pierre_Clitandre
