orig;type_;langue;collectif;
présence dans l’audiovisuel (radio, cinéma, télévision);filmographie;;FAUX;
textes de kettly mars en ligne sur île en île et boutures;textes en ligne;;FAUX;
sur roussan camille;autour de l'�uvre / de l'auteur;;FAUX;
sur île en île;textes en ligne;;FAUX;
expositions de peinture sélectionnées;expositions;;FAUX;
in het nederlands;;flamand;FAUX;
sur l’œuvre d’ignace nau;autour de l'�uvre / de l'auteur;;FAUX;
sur gary klang;autour de l'�uvre / de l'auteur;;FAUX;
essais et récits;;;FAUX;
textes parus dans des ouvrages collectifs;;;VRAI;
ouvrages collectifs et anthologies;;;VRAI;
bourses, résidences et distinctions;distinctions;;FAUX;
willems édouard (1965-2016);autour de l'�uvre / de l'auteur;;FAUX;
sur ida faubert;autour de l'�uvre / de l'auteur;;FAUX;
sur louis joseph janvier;autour de l'�uvre / de l'auteur;;FAUX;
dans la presse (sélections);autour de l'�uvre / de l'auteur;;FAUX;presse
poèmes;poesie;;FAUX;
volume v (1978);autour de l'�uvre / de l'auteur;;FAUX;
ouvrages collectifs;;;VRAI;
sur l’oeuvre de nadine magloire;autour de l'�uvre / de l'auteur;;FAUX;
pwezi (an kreyòl);;;FAUX;
на русском;;;FAUX;
textes radiophoniques;enregistrements;;FAUX;
sur l’auteur (île en île);autour de l'�uvre / de l'auteur;;FAUX;
poésie;poesie;;FAUX;
textes de georges castera sur île en île;texte en lignes;;FAUX;
volume iv (1978);autour de l'�uvre / de l'auteur;;FAUX;
essais de linguistique et de terminologie;articles/essais;;FAUX;linguistique
séléction de poèmes publiés dans des revues et des ouvrages collectifs;poesie;;FAUX;revue
en japonais;;japonais;FAUX;
enregistrements;enregistrements;;FAUX;
autres éditions;;;FAUX;
enregistrements sonores;enregistrements;;FAUX;
sur un ambassadeur macoute à montréal;autour de l'�uvre / de l'auteur;;FAUX;
dans boutures;texte en lignes;;FAUX;
autres sites et critique;sur le web;;FAUX;
hommages, paulette poujol oriol (1926-2011);autour de l'�uvre / de l'auteur;;FAUX;
hommages, jacqueline beaugé-rosier (1932-2006);autour de l'�uvre / de l'auteur;;FAUX;
oeuvre en langue anglaise (english);oeuvre;anglais;FAUX;
livres pour la jeunesse;livres;;FAUX;jeunesse
